MultilexDrug_ID,dmd_id,FullName, Year, IssueCount_midpoint6
1234;567;0,100111000001109,DUMMY_NAME,2019,83385
1234;567;0,100211000001103,DUMMY_NAME,2022,73581
1234;567;0,100411000001104,DUMMY_NAME,2023,25295
1234;567;0,10053611000001102,DUMMY_NAME,2019,34504
1234;567;0,100611000001101,DUMMY_NAME,2018,57923
1234;567;0,10065411000001106,DUMMY_NAME,2019,31454
1234;567;0,10065611000001109,DUMMY_NAME,2020,117485
1234;567;0,10066511000001103,DUMMY_NAME,2019,112961
1234;567;0,10066711000001108,DUMMY_NAME,2019,71746
1234;567;0,10070511000001105,DUMMY_NAME,2023,14148
1234;567;0,10070811000001108,DUMMY_NAME,2021,99481
1234;567;0,10072211000001108,DUMMY_NAME,2018,24335
1234;567;0,10075111000001109,DUMMY_NAME,2019,100730
1234;567;0,100911000001107,DUMMY_NAME,2023,38810
1234;567;0,101111000001103,DUMMY_NAME,2023,10025
1234;567;0,10130811000001101,DUMMY_NAME,2019,123085
1234;567;0,10131111000001102,DUMMY_NAME,2021,117803
1234;567;0,10131611000001105,DUMMY_NAME,2018,82601
1234;567;0,10131811000001109,DUMMY_NAME,2021,7822
1234;567;0,10132411000001102,DUMMY_NAME,2019,118915
1234;567;0,10137211000001103,DUMMY_NAME,2023,5798
1234;567;0,10137711000001105,DUMMY_NAME,2018,103154
1234;567;0,10138311000001107,DUMMY_NAME,2023,47795
1234;567;0,10138511000001101,DUMMY_NAME,2018,102104
1234;567;0,10138711000001106,DUMMY_NAME,2022,100747
1234;567;0,10138911000001108,DUMMY_NAME,2022,115029
1234;567;0,10139111000001103,DUMMY_NAME,2020,87521
1234;567;0,10139311000001101,DUMMY_NAME,2018,53422
1234;567;0,101411000001108,DUMMY_NAME,2023,26255
1234;567;0,10154511000001109,DUMMY_NAME,2022,117890
1234;567;0,10154911000001102,DUMMY_NAME,2023,115280
1234;567;0,10155111000001101,DUMMY_NAME,2019,18193
1234;567;0,10155311000001104,DUMMY_NAME,2020,114892
1234;567;0,10155511000001105,DUMMY_NAME,2022,2579
1234;567;0,10163611000001102,DUMMY_NAME,2022,23758
1234;567;0,10168211000001107,DUMMY_NAME,2021,44344
1234;567;0,101711000001102,DUMMY_NAME,2020,78460
1234;567;0,10185611000001101,DUMMY_NAME,2022,101220
1234;567;0,10191511000001102,DUMMY_NAME,2019,46404
1234;567;0,10192611000001109,DUMMY_NAME,2023,110336
1234;567;0,10192911000001103,DUMMY_NAME,2022,76631
1234;567;0,10194911000001107,DUMMY_NAME,2023,73855
1234;567;0,10197811000001106,DUMMY_NAME,2021,102676
1234;567;0,10198011000001104,DUMMY_NAME,2023,65037
1234;567;0,10198211000001109,DUMMY_NAME,2022,116286
1234;567;0,10198411000001108,DUMMY_NAME,2019,89669
1234;567;0,102011000001107,DUMMY_NAME,2018,75045
1234;567;0,10211000001106,DUMMY_NAME,2018,31285
1234;567;0,102111000001108,DUMMY_NAME,2020,105602
1234;567;0,10241311000001102,DUMMY_NAME,2018,92149
1234;567;0,10241511000001108,DUMMY_NAME,2021,48428
1234;567;0,10254711000001102,DUMMY_NAME,2023,2357
1234;567;0,102611000001100,DUMMY_NAME,2022,80064
1234;567;0,10261511000001103,DUMMY_NAME,2022,21084
1234;567;0,10264711000001106,DUMMY_NAME,2023,27709
1234;567;0,102711000001109,DUMMY_NAME,2018,98701
1234;567;0,10272611000001100,DUMMY_NAME,2023,10430
1234;567;0,10272911000001106,DUMMY_NAME,2021,115816
1234;567;0,10273811000001109,DUMMY_NAME,2018,60199
1234;567;0,10274011000001101,DUMMY_NAME,2019,29302
1234;567;0,10274311000001103,DUMMY_NAME,2022,3754
1234;567;0,10274511000001109,DUMMY_NAME,2020,49996
1234;567;0,10275111000001101,DUMMY_NAME,2022,61620
1234;567;0,10276311000001109,DUMMY_NAME,2023,39504
1234;567;0,10276611000001104,DUMMY_NAME,2020,23931
1234;567;0,10276811000001100,DUMMY_NAME,2023,106202
1234;567;0,10277911000001108,DUMMY_NAME,2023,25608
1234;567;0,10278611000001103,DUMMY_NAME,2018,115642
1234;567;0,10278811000001104,DUMMY_NAME,2023,36475
1234;567;0,10279011000001100,DUMMY_NAME,2020,16736
1234;567;0,10279211000001105,DUMMY_NAME,2020,28450
1234;567;0,10279411000001109,DUMMY_NAME,2021,9958
1234;567;0,10279611000001107,DUMMY_NAME,2022,111330
1234;567;0,10285211000001101,DUMMY_NAME,2022,93413
1234;567;0,10285411000001102,DUMMY_NAME,2020,5278
1234;567;0,10285611000001104,DUMMY_NAME,2022,123435
1234;567;0,10285711000001108,DUMMY_NAME,2020,78051
1234;567;0,10285811000001100,DUMMY_NAME,2018,113516
1234;567;0,10286211000001107,DUMMY_NAME,2020,120050
1234;567;0,10286311000001104,DUMMY_NAME,2019,108384
1234;567;0,10286811000001108,DUMMY_NAME,2021,39958
1234;567;0,10287011000001104,DUMMY_NAME,2019,26467
1234;567;0,10287511000001107,DUMMY_NAME,2023,22145
1234;567;0,10287611000001106,DUMMY_NAME,2022,41283
1234;567;0,10287911000001100,DUMMY_NAME,2018,107400
1234;567;0,10288011000001103,DUMMY_NAME,2022,82108
1234;567;0,10288111000001102,DUMMY_NAME,2021,87164
1234;567;0,10288511000001106,DUMMY_NAME,2022,63744
1234;567;0,10288611000001105,DUMMY_NAME,2018,92186
1234;567;0,10288911000001104,DUMMY_NAME,2018,102603
1234;567;0,10289011000001108,DUMMY_NAME,2020,92670
1234;567;0,10289311000001106,DUMMY_NAME,2021,23800
1234;567;0,10289511000001100,DUMMY_NAME,2019,54236
1234;567;0,10289811000001102,DUMMY_NAME,2018,54381
1234;567;0,10290011000001104,DUMMY_NAME,2023,62489
1234;567;0,10290211000001109,DUMMY_NAME,2022,71967
1234;567;0,10290411000001108,DUMMY_NAME,2022,48550
1234;567;0,10290511000001107,DUMMY_NAME,2018,56063
1234;567;0,10290811000001105,DUMMY_NAME,2018,62133
1234;567;0,10291011000001108,DUMMY_NAME,2021,112700
1234;567;0,102911000001106,DUMMY_NAME,2023,32905
1234;567;0,10291611000001101,DUMMY_NAME,2018,12924
1234;567;0,10291711000001105,DUMMY_NAME,2023,34015
1234;567;0,10292011000001100,DUMMY_NAME,2022,32094
1234;567;0,10292211000001105,DUMMY_NAME,2018,1676
1234;567;0,10292311000001102,DUMMY_NAME,2020,3677
1234;567;0,10292611000001107,DUMMY_NAME,2023,121264
1234;567;0,10292711000001103,DUMMY_NAME,2020,26187
1234;567;0,10293311000001107,DUMMY_NAME,2020,43131
1234;567;0,10293511000001101,DUMMY_NAME,2019,11570
1234;567;0,10294011000001106,DUMMY_NAME,2018,62757
1234;567;0,10294311000001109,DUMMY_NAME,2021,3658
1234;567;0,10294511000001103,DUMMY_NAME,2018,71533
1234;567;0,10294711000001108,DUMMY_NAME,2019,81486
1234;567;0,10294811000001100,DUMMY_NAME,2018,17218
1234;567;0,10295411000001101,DUMMY_NAME,2021,83647
1234;567;0,10295711000001107,DUMMY_NAME,2020,29139
1234;567;0,10295911000001109,DUMMY_NAME,2020,40321
1234;567;0,10296511000001109,DUMMY_NAME,2023,5197
1234;567;0,10296711000001104,DUMMY_NAME,2023,28144
1234;567;0,10296911000001102,DUMMY_NAME,2018,47094
1234;567;0,10297111000001102,DUMMY_NAME,2018,74795
1234;567;0,10297311000001100,DUMMY_NAME,2018,65383
1234;567;0,10297411000001107,DUMMY_NAME,2018,70963
1234;567;0,10297511000001106,DUMMY_NAME,2018,7387
1234;567;0,10297811000001109,DUMMY_NAME,2020,100232
1234;567;0,10298011000001102,DUMMY_NAME,2023,90100
1234;567;0,10298111000001101,DUMMY_NAME,2018,20505
1234;567;0,10298411000001106,DUMMY_NAME,2023,67709
1234;567;0,10298511000001105,DUMMY_NAME,2020,6958
1234;567;0,10298811000001108,DUMMY_NAME,2023,5260
1234;567;0,10298911000001103,DUMMY_NAME,2023,95887
1234;567;0,10299211000001102,DUMMY_NAME,2021,59599
1234;567;0,10299411000001103,DUMMY_NAME,2021,58364
1234;567;0,10299611000001100,DUMMY_NAME,2019,117423
1234;567;0,10299811000001101,DUMMY_NAME,2023,7001
1234;567;0,10299911000001106,DUMMY_NAME,2019,81692
1234;567;0,10300211000001100,DUMMY_NAME,2020,60988
1234;567;0,10300411000001101,DUMMY_NAME,2023,14961
1234;567;0,10300511000001102,DUMMY_NAME,2022,114436
1234;567;0,10300811000001104,DUMMY_NAME,2018,59316
1234;567;0,10301011000001101,DUMMY_NAME,2020,98553
1234;567;0,10301211000001106,DUMMY_NAME,2018,48934
1234;567;0,10301411000001105,DUMMY_NAME,2023,73472
1234;567;0,10301611000001108,DUMMY_NAME,2018,117940
1234;567;0,10301811000001107,DUMMY_NAME,2018,53742
1234;567;0,10302011000001109,DUMMY_NAME,2022,48712
1234;567;0,10302211000001104,DUMMY_NAME,2021,97384
1234;567;0,10302411000001100,DUMMY_NAME,2020,100113
1234;567;0,10302611000001102,DUMMY_NAME,2019,104715
1234;567;0,10302811000001103,DUMMY_NAME,2019,19990
1234;567;0,10303011000001100,DUMMY_NAME,2023,20163
1234;567;0,10304311000001100,DUMMY_NAME,2021,24928
1234;567;0,10304811000001109,DUMMY_NAME,2018,1047
1234;567;0,10305211000001109,DUMMY_NAME,2022,76292
1234;567;0,10307911000001105,DUMMY_NAME,2022,77634
1234;567;0,10310711000001105,DUMMY_NAME,2018,114006
1234;567;0,10311011000001104,DUMMY_NAME,2018,10647
1234;567;0,10311411000001108,DUMMY_NAME,2020,47227
1234;567;0,10320711000001102,DUMMY_NAME,2019,40500
1234;567;0,103211000001108,DUMMY_NAME,2020,47144
1234;567;0,10324611000001104,DUMMY_NAME,2021,48996
1234;567;0,10324911000001105,DUMMY_NAME,2019,4333
1234;567;0,10325311000001108,DUMMY_NAME,2018,26900
1234;567;0,10325511000001102,DUMMY_NAME,2019,72937
1234;567;0,10325711000001107,DUMMY_NAME,2019,74960
1234;567;0,10325811000001104,DUMMY_NAME,2018,93331
1234;567;0,10326211000001106,DUMMY_NAME,2022,48822
1234;567;0,10326911000001102,DUMMY_NAME,2021,51872
1234;567;0,10349811000001104,DUMMY_NAME,2019,57213
1234;567;0,10350011000001100,DUMMY_NAME,2019,88139
1234;567;0,10350211000001105,DUMMY_NAME,2021,93501
1234;567;0,10356611000001109,DUMMY_NAME,2022,70917
